id_rating,book_id,user_id,rating
0,248957,798,5
1,248957,539,5
2,248957,1479,5
3,248957,1676,5
4,248957,1418,5
5,248957,958,5
6,248957,1615,5
7,248957,1657,5
8,248957,1559,5
9,248957,1562,5
10,248957,639,5
11,248957,336,5
12,248957,615,5
13,248957,526,5
14,248957,218,5
15,248957,154,5
16,248957,1305,5
17,248957,958,5
18,248957,1387,5
19,248957,758,5
20,248957,1265,5
21,248957,1065,5
22,248957,1556,5
23,248957,546,5
24,248957,1235,5
25,248957,28,5
26,248957,722,5
27,248957,727,5
28,248957,21,5
29,248957,585,5
30,248957,847,5
31,248957,849,5
32,248957,1280,5
33,248957,165,5
34,248957,584,5
35,248957,586,5
36,248957,209,5
37,248957,1492,5
38,248957,1341,5
39,248957,1403,5
40,248957,857,5
41,248957,1399,5
42,248957,732,5
43,248957,636,5
44,248957,1323,5
45,248957,1127,5
46,248957,646,5
47,248957,470,5
48,248957,841,5
49,248957,935,5
50,248957,719,5
51,248957,1112,5
52,248957,59,5
53,248957,203,5
54,248957,826,5
55,248957,1453,5
56,248957,1122,5
57,248957,462,5
58,248957,1640,5
59,248957,416,5
60,248957,915,5
61,248957,922,5
62,248957,456,5
63,248957,890,5
64,248957,1163,5
65,248957,291,5
66,248957,735,5
67,248957,450,5
68,248957,757,5
69,248957,850,5
70,248957,726,5
71,248957,1120,5
72,248957,530,5
73,248957,673,5
74,248957,620,5
75,248957,1667,5
76,248957,286,5
77,248957,544,5
78,248957,1259,5
79,248957,900,5
80,248957,93,5
81,248957,240,5
82,248957,1055,5
83,248957,1408,5
84,248957,1680,5
85,248957,1465,5
86,248957,1576,5
87,248957,1437,5
88,248957,1006,5
89,248957,1413,5
90,248957,1003,5
91,248957,392,5
92,248957,109,5
93,248957,720,5
94,248957,414,5
95,248957,1312,5
96,248957,1403,5
97,248957,1678,5
98,248957,302,5
99,248957,911,5
100,248957,244,5
101,248957,1491,5
102,248957,527,5
103,248957,1509,5
104,248957,201,5
105,248957,182,5
106,248957,1331,5
107,248957,276,5
108,248957,1432,5
109,248957,179,5
110,248957,1012,5
111,248957,176,5
112,248957,539,5
113,248957,1245,5
114,248957,557,5
115,248957,687,5
116,248957,1091,5
117,248957,1466,5
118,248957,1673,5
119,248957,1231,5
120,248957,1022,5
121,248957,164,5
122,248957,608,5
123,248957,1469,5
124,248957,1441,5
125,248957,1664,5
126,248957,239,5
127,248957,206,5
128,248957,1528,5
129,248957,1018,5
130,248957,1110,5
131,248957,170,5
132,248957,1190,5
133,248957,954,5
134,248957,43,5
135,248957,274,5
136,248957,678,5
137,248957,742,5
138,248957,1250,5
139,248957,1242,5
140,248957,804,5
141,248957,841,5
142,248957,972,5
143,248957,1187,5
144,248957,846,5
145,248957,1686,5
146,248957,1540,5
147,248957,740,5
148,248957,677,5
149,248957,1124,5
150,248957,29,5
151,248957,973,5
152,248957,1665,5
153,248957,860,5
154,248957,1629,5
155,248957,329,5
156,248957,611,5
157,248957,894,5
158,248957,818,5
159,248957,241,5
160,248957,1682,5
161,248957,907,5
162,248957,1386,5
163,248957,455,5
164,248957,1084,5
165,248957,1142,5
166,248957,301,5
167,248957,1326,5
168,248957,769,5
169,248957,540,5
170,248957,1588,5
171,248957,1168,5
172,248957,79,5
173,248957,1691,5
174,248957,491,5
175,248957,376,5
176,248957,341,5
177,248957,1617,5
178,248957,1304,5
179,248957,553,5
180,248957,1469,5
181,248957,344,5
182,248957,1090,5
183,248957,294,5
184,248957,128,5
185,248957,377,5
186,248957,1575,5
187,248957,384,5
188,248957,991,5
189,248957,972,5
190,248957,564,5
191,248957,127,5
192,248957,1447,5
193,248957,93,5
194,248957,569,5
195,248957,226,5
196,248957,275,5
197,248957,247,5
198,248957,152,5
199,248957,134,5
200,248957,1552,5
201,248957,1606,5
202,248957,1694,5
203,248957,704,5
204,248957,977,5
205,248957,514,5
206,248957,308,5
207,248957,755,5
208,248957,1187,5
209,248957,1340,5
210,248957,190,5
211,248957,1374,5
212,248957,440,5
213,248957,227,5
214,248957,1110,5
215,248957,39,5
216,248957,1391,5
217,248957,1479,5
218,248957,748,5
219,248957,471,5
220,248957,1157,5
221,248957,41,5
222,248957,1403,5
223,248957,1400,5
224,248957,1471,5
225,248957,459,5
226,248957,158,5
227,248957,582,5
228,248957,1465,5
229,248957,1033,5
230,248957,1317,5
231,248957,361,5
232,248957,1658,5
233,248957,447,5
234,248957,118,5
235,248957,1681,5
236,248957,483,5
237,248957,694,5
238,248957,811,5
239,247716,67,5
240,247716,3104,5
241,247716,1300,5
242,247716,2052,5
243,247716,3160,5
244,247716,2610,5
245,247716,1346,5
246,247716,3153,5
247,247716,1613,5
248,247716,2521,5
249,247716,2650,5
250,247716,2999,5
251,247716,620,5
252,247716,2109,5
253,247716,1660,5
254,247716,2112,5
255,247716,1639,5
256,247716,416,5
257,247716,224,5
258,247716,39,5
259,247716,1946,5
260,247716,975,5
261,247716,470,5
262,247716,3,5
263,247716,1875,5
264,247716,3034,5
265,247716,2095,5
266,247716,1316,5
267,247716,452,5
268,247716,395,5
269,247716,1665,5
270,247716,631,5
271,247716,916,5
272,247716,3070,5
273,247716,3120,5
274,247716,2172,5
275,247716,3148,5
276,247716,553,5
277,247716,1192,5
278,247716,1778,5
279,247716,3116,5
280,247716,2716,5
281,247716,74,5
282,247716,669,5
283,247716,1147,5
284,247716,1515,5
285,247716,2882,5
286,247716,1508,5
287,247716,217,5
288,247716,2046,5
289,247716,1199,5
290,247716,1598,5
291,247716,2118,5
292,247716,2265,5
293,247716,1880,5
294,247716,103,5
295,247716,623,5
296,247716,3004,5
297,247716,1554,5
298,247716,466,5
299,247716,2391,5
300,247716,2344,5
301,247716,1821,5
302,247716,932,5
303,247716,2617,5
304,247716,478,5
305,247716,1070,5
306,247716,164,5
307,247716,1075,5
308,247716,88,5
309,247716,135,5
310,247716,2200,5
311,247716,2395,5
312,247716,2635,5
313,247716,3041,5
314,247716,2720,5
315,247716,3130,5
316,247716,550,5
317,247716,1388,5
318,247716,386,5
319,247716,1796,5
320,247716,2541,5
321,247716,1025,5
322,247716,2012,5
323,247716,2336,5
324,247716,1361,5
325,247716,559,5
326,247716,1967,5
327,247716,393,5
328,247716,232,5
329,247716,2263,5
330,247716,825,5
331,247716,1093,5
332,247716,2394,5
333,247716,2561,5
334,247716,2251,5
335,247716,297,5
336,247716,2547,5
337,247716,2989,5
338,247716,1573,5
339,247716,2082,5
340,247716,890,5
341,247716,1079,5
342,247716,1041,5
343,247716,2856,5
344,247716,755,5
345,247716,3133,5
346,247716,3038,5
347,247716,2325,5
348,247716,926,5
349,247716,2605,5
350,247716,168,5
351,247716,1436,5
352,247716,576,5
353,247716,1796,5
354,247716,2838,5
355,247716,1537,5
356,247716,969,5
357,247716,1259,5
358,247716,1998,5
359,247716,832,5
360,247716,1693,5
361,247716,1990,5
362,247716,2084,5
363,247716,521,5
364,247716,1868,5
365,247716,1421,5
366,247716,1887,5
367,247716,1426,5
368,247716,972,5
369,247716,22,5
370,247716,1640,5
371,247716,2604,5
372,247716,2589,5
373,247716,51,5
374,247716,200,5
375,247716,399,5
376,247716,2608,5
377,247716,1901,5
378,247716,404,5
379,247716,543,5
380,247716,3159,5
381,247716,1348,5
382,247716,426,5
383,247716,118,5
384,247716,3066,5
385,247716,970,5
386,247716,2528,5
387,247716,1648,5
388,247716,439,5
389,247716,1659,5
390,247716,2933,5
391,247716,2750,5
392,247716,1387,5
393,247716,3184,5
394,247716,1205,5
395,247716,1996,5
396,247716,877,5
397,247716,2763,5
398,247716,2926,5
399,247716,1617,5
400,247716,911,5
401,247716,2059,5
402,247716,1250,5
403,247716,2858,5
404,247716,1510,5
405,247716,1928,5
406,247716,397,5
407,247716,1068,5
408,247716,1365,5
409,247716,2322,5
410,247716,2924,5
411,247716,2882,5
412,247716,3087,5
413,247716,1155,5
414,247716,2186,5
415,247716,2409,5
416,247716,2277,5
417,247716,92,5
418,247716,3003,5
419,247716,1385,5
420,247716,1450,5
421,247716,2477,5
422,247716,65,5
423,247716,2005,5
424,247716,1423,5
425,247716,2501,5
426,247716,1633,5
427,247716,1179,5
428,247716,2981,5
429,247716,303,5
430,247716,823,5
431,247716,1842,5
432,247716,1120,5
433,247716,1594,5
434,247716,1884,5
435,247716,1709,5
436,247716,1193,5
437,247716,2267,5
438,247716,1634,5
439,247716,1233,5
440,247716,994,5
441,247716,2070,5
442,247716,206,5
443,247716,185,5
444,247716,932,5
445,247716,1167,5
446,247716,2999,5
447,247716,2065,5
448,247716,1359,5
449,247716,2531,5
450,247716,1444,5
451,247716,2330,5
452,247716,2027,5
453,247716,1618,5
454,247716,3141,5
455,247716,1617,5
456,247716,694,5
457,247716,1092,5
458,247716,1903,5
459,247716,480,5
460,247716,2299,5
461,247716,104,5
462,247716,2962,5
463,247716,1995,5
464,247716,1097,5
465,247716,1820,5
466,247716,737,5
467,247716,2069,5
468,247716,582,5
469,247716,1004,5
470,247716,2364,5
471,247716,2314,5
472,248147,764,5
473,248147,869,5
474,248147,760,5
475,248147,712,5
476,248147,312,5
477,248147,1090,5
478,248147,417,5
479,248147,9,5
480,248147,267,5
481,248147,249,5
482,248147,354,5
483,248147,198,5
484,248147,712,5
485,248147,565,5
486,248147,805,5
487,248147,368,5
488,248147,822,5
489,248147,31,5
490,248147,242,5
491,248147,980,5
492,248147,157,5
493,248147,296,5
494,248147,551,5
495,248147,460,5
496,248147,139,5
497,248147,281,5
498,248147,367,5
499,248147,833,5
500,248147,978,5
501,248147,586,5
502,248147,952,5
503,248147,238,5
504,248147,542,5
505,248147,913,5
506,248147,432,5
507,248147,1078,5
